Dataset,Source,Article_Count,Rank
disease,benzinga.com,2073,1
disease,nytimes.com,935,2
disease,forbes.com,930,3
disease,theguardian.com,833,4
disease,sportingnews.com,605,5
disease,nypost.com,569,6
disease,usatoday.com,530,7
disease,buzzfeed.com,467,8
disease,uproxx.com,466,9
disease,people.com,437,10
resmetirom,benzinga.com,102,1
resmetirom,investors.com,8,2
resmetirom,marketwatch.com,4,3
resmetirom,upi.com,4,4
resmetirom,forbes.com,3,5
resmetirom,reuters.com,3,6
resmetirom,cnbc.com,2,7
resmetirom,rawstory.com,2,8
resmetirom,rttnews.com,2,9
resmetirom,theconversation.com,2,10
glp1,benzinga.com,1811,1
glp1,nypost.com,854,2
glp1,forbes.com,579,3
glp1,qz.com,513,4
glp1,reuters.com,493,5
glp1,ibtimes.com,488,6
glp1,time.com,466,7
glp1,nytimes.com,440,8
glp1,theguardian.com,399,9
glp1,inquirer.com,349,10
