date,MASLD,NAFLD,Rezdiffra,Wegovy,Ozempic
2023-01-01,0,0,0,21,39
2023-01-08,0,1,0,17,40
2023-01-15,0,1,0,16,47
2023-01-22,0,1,0,19,64
2023-01-29,0,1,0,22,59
2023-02-05,0,1,0,19,53
2023-02-12,0,1,0,20,53
2023-02-19,0,1,0,22,53
2023-02-26,0,1,0,23,59
2023-03-05,0,1,0,24,62
2023-03-12,0,1,0,24,72
2023-03-19,0,1,0,26,69
2023-03-26,0,1,0,25,60
2023-04-02,0,1,0,26,68
2023-04-09,0,1,0,28,65
2023-04-16,0,1,0,28,61
2023-04-23,0,1,0,29,65
2023-04-30,0,1,0,32,65
2023-05-07,0,1,0,30,63
2023-05-14,0,1,0,32,69
2023-05-21,0,1,0,34,79
2023-05-28,0,1,0,32,72
2023-06-04,0,1,0,33,86
2023-06-11,0,1,0,31,85
2023-06-18,0,1,0,29,77
2023-06-25,0,1,0,28,73
2023-07-02,0,1,0,26,72
2023-07-09,0,1,0,26,68
2023-07-16,0,1,0,22,62
2023-07-23,0,1,0,24,67
2023-07-30,0,1,0,21,63
2023-08-06,0,1,0,29,60
2023-08-13,0,1,0,23,63
2023-08-20,0,1,0,23,55
2023-08-27,0,1,0,20,53
2023-09-03,0,1,0,20,50
2023-09-10,0,1,0,21,47
2023-09-17,0,1,0,22,58
2023-09-24,0,1,0,21,55
2023-10-01,0,1,0,21,58
2023-10-08,0,1,0,19,58
2023-10-15,0,1,0,19,52
2023-10-22,0,1,0,20,57
2023-10-29,0,1,0,18,54
2023-11-05,0,1,0,19,59
2023-11-12,0,1,0,25,56
2023-11-19,0,1,0,14,51
2023-11-26,0,1,0,19,57
2023-12-03,0,1,0,20,58
2023-12-10,0,1,0,20,69
2023-12-17,0,1,0,19,65
2023-12-24,0,1,0,20,65
2023-12-31,0,1,0,22,70
2024-01-07,0,1,0,20,60
2024-01-14,0,1,0,19,62
2024-01-21,0,1,0,22,66
2024-01-28,0,1,0,21,61
2024-02-04,0,1,0,20,64
2024-02-11,0,1,0,19,61
2024-02-18,0,1,0,23,76
2024-02-25,0,1,0,21,79
2024-03-03,0,1,0,27,85
2024-03-10,0,1,1,26,83
2024-03-17,0,1,1,30,97
2024-03-24,0,1,0,26,80
2024-03-31,0,1,0,24,95
2024-04-07,0,1,0,24,69
2024-04-14,0,1,0,24,77
2024-04-21,0,1,0,26,93
2024-04-28,0,1,0,23,86
2024-05-05,0,1,0,24,92
2024-05-12,0,1,0,27,100
2024-05-19,0,1,0,28,98
2024-05-26,0,1,0,26,97
2024-06-02,0,1,0,32,84
2024-06-09,0,1,0,33,83
2024-06-16,0,1,0,34,85
2024-06-23,0,1,0,28,81
2024-06-30,0,1,0,34,90
2024-07-07,0,1,0,32,74
2024-07-14,0,1,0,28,66
2024-07-21,0,1,0,27,69
2024-07-28,0,1,0,27,73
2024-08-04,0,1,0,27,66
2024-08-11,0,1,0,28,68
2024-08-18,0,1,0,26,72
2024-08-25,0,1,0,28,69
2024-09-01,0,1,0,27,72
2024-09-08,0,1,0,25,70
2024-09-15,0,1,0,23,65
2024-09-22,0,1,0,25,64
2024-09-29,1,1,0,25,61
2024-10-06,0,1,0,24,56
2024-10-13,0,1,0,24,62
2024-10-20,1,1,0,26,62
2024-10-27,0,1,0,27,62
2024-11-03,0,1,0,23,54
2024-11-10,0,1,0,24,61
2024-11-17,0,1,0,25,62
2024-11-24,0,1,0,22,62
2024-12-01,0,1,0,24,61
2024-12-08,0,1,0,22,59
2024-12-15,0,1,0,22,58
2024-12-22,0,1,0,21,65
2024-12-29,0,1,0,25,70
2025-01-05,0,1,0,27,67
2025-01-12,0,1,0,26,61
2025-01-19,0,1,0,23,57
2025-01-26,0,1,0,22,68
2025-02-02,0,1,0,21,59
2025-02-09,0,1,0,21,64
2025-02-16,0,1,0,25,64
2025-02-23,0,1,0,23,64
2025-03-02,0,1,0,25,62
2025-03-09,0,1,1,24,63
2025-03-16,0,1,0,23,60
2025-03-23,0,1,0,24,63
2025-03-30,0,1,0,23,55
2025-04-06,0,1,0,23,56
2025-04-13,0,1,0,23,59
2025-04-20,0,1,0,22,60
2025-04-27,0,1,0,25,59
2025-05-04,0,1,0,25,57
2025-05-11,0,1,0,27,61
2025-05-18,0,1,0,23,58
2025-05-25,0,1,0,24,62
2025-06-01,0,1,0,24,56
2025-06-08,0,1,0,25,57
2025-06-15,0,1,0,26,54
2025-06-22,0,1,0,25,53
2025-06-29,0,1,0,23,49
2025-07-06,0,1,0,26,52
2025-07-13,0,1,1,26,53
2025-07-20,1,1,0,27,55
2025-07-27,1,1,1,28,59
2025-08-03,1,1,1,25,52
2025-08-10,1,1,0,23,52
2025-08-17,0,1,1,26,72
2025-08-24,1,1,1,24,55
2025-08-31,0,1,0,22,50
2025-09-07,0,1,0,20,46
2025-09-14,1,1,0,22,49
2025-09-21,1,1,0,22,47
2025-09-28,1,1,0,25,54
2025-10-05,1,1,1,26,52
2025-10-12,1,1,0,21,48
2025-10-19,1,1,0,22,47
2025-10-26,1,1,0,21,44
