source,count
benzinga.com,2073
nytimes.com,935
forbes.com,930
theguardian.com,833
sportingnews.com,605
nypost.com,569
usatoday.com,530
buzzfeed.com,467
uproxx.com,466
people.com,437
latimes.com,427
variety.com,413
billboard.com,404
newsday.com,402
hollywoodreporter.com,395
newsweek.com,377
usmagazine.com,355
mercurynews.com,328
rollingstone.com,325
cbsnews.com,319
mlive.com,302
cbssports.com,295
sandiegouniontribune.com,295
cleveland.com,277
stltoday.com,277
arkansasonline.com,270
seattletimes.com,245
washingtonpost.com,244
foxnews.com,231
ocregister.com,227
abcnews.go.com,220
thewrap.com,218
ign.com,216
inquirer.com,209
azcentral.com,202
startribune.com,201
denverpost.com,199
chicagotribune.com,191
bleacherreport.com,180
twincities.com,177
fansided.com,171
sun-sentinel.com,164
businessinsider.com,163
espn.com,159
eonline.com,149
ajc.com,146
techradar.com,146
baltimoresun.com,141
postandcourier.com,135
syracuse.com,135
upi.com,135
orlandosentinel.com,133
ew.com,120
cnn.com,118
courant.com,117
foxsports.com,117
bostonglobe.com,112
cnet.com,110
thedailybeast.com,108
centralmaine.com,107
indiewire.com,107
jsonline.com,105
pilotonline.com,105
oregonlive.com,103
tmz.com,99
sfgate.com,94
theconversation.com,93
salon.com,91
mashable.com,90
polygon.com,90
freep.com,86
staradvertiser.com,86
deadspin.com,78
npr.org,78
reuters.com,78
gazettenet.com,77
nbcnews.com,76
gizmodo.com,74
rawstory.com,74
eater.com,71
ibtimes.com,71
vanityfair.com,71
zdnet.com,70
dailycaller.com,65
cincinnati.com,61
sbnation.com,60
theweek.com,60
eurweb.com,59
theatlantic.com,59
theroot.com,59
dispatch.com,58
fortune.com,58
gq.com,58
hollywoodlife.com,58
investors.com,58
observer.com,56
newyorker.com,55
popmatters.com,55
pitchfork.com,54
dailydot.com,53
