date,count,total_count,ratio
2023-01-01,8,5025,0.0015920398009950248
2023-01-02,2,6256,0.00031969309462915604
2023-01-03,8,10145,0.0007885657959586003
2023-01-04,5,11267,0.0004437738528445904
2023-01-05,5,12157,0.00041128567903265606
2023-01-06,2,11739,0.0001703722633955192
2023-01-07,1,5261,0.00019007793195210037
2023-01-08,3,5703,0.0005260389268805891
2023-01-09,23,11214,0.002051007668985197
2023-01-10,7,12133,0.000576938926893596
2023-01-11,5,12372,0.00040413837698027806
2023-01-12,9,12095,0.0007441091360066144
2023-01-13,1,10719,9.329228472805298e-05
2023-01-14,0,5419,0
2023-01-15,2,5280,0.0003787878787878788
2023-01-16,6,7821,0.0007671653241273494
2023-01-17,6,11407,0.0005259928114315771
2023-01-18,9,11964,0.0007522567703109327
2023-01-19,8,12284,0.0006512536633018561
2023-01-20,9,10909,0.0008250068750572921
2023-01-21,1,5767,0.00017340038148083925
2023-01-22,0,5573,0
2023-01-23,2,10835,0.00018458698661744346
2023-01-24,5,12387,0.000403648986841043
2023-01-25,14,12165,0.0011508425811755036
2023-01-26,10,12100,0.0008264462809917355
2023-01-27,7,10979,0.0006375808361417251
2023-01-28,0,5282,0
2023-01-29,3,5442,0.0005512679162072767
2023-01-30,4,10914,0.0003665017408832692
2023-01-31,6,12253,0.0004896759977148454
2023-02-01,10,12836,0.0007790588968526021
2023-02-02,7,12068,0.000580046403712297
2023-02-03,3,11037,0.0002718129926610492
2023-02-04,2,5424,0.0003687315634218289
2023-02-05,5,5481,0.0009122422915526364
2023-02-06,2,10952,0.00018261504747991235
2023-02-07,3,12295,0.0002440016266775112
2023-02-08,4,12522,0.00031943778949049674
2023-02-09,7,12817,0.0005461496450027307
2023-02-10,6,11447,0.0005241548003843802
2023-02-11,0,5445,0
2023-02-12,1,5878,0.0001701258931609391
2023-02-13,5,10809,0.0004625774817281895
2023-02-14,2,12307,0.00016250914113918907
2023-02-15,7,12350,0.0005668016194331983
2023-02-16,5,12555,0.00039824771007566706
2023-02-17,1,10745,9.306654257794323e-05
2023-02-18,1,5538,0.00018057060310581438
2023-02-19,5,4995,0.001001001001001001
2023-02-20,1,8007,0.00012489072061945796
