source,count
benzinga.com,1811
nypost.com,854
forbes.com,579
qz.com,513
reuters.com,493
ibtimes.com,488
time.com,466
nytimes.com,440
theguardian.com,399
inquirer.com,349
cbsnews.com,340
investors.com,333
usmagazine.com,330
cnbc.com,329
foxnews.com,322
businessinsider.com,289
people.com,238
newsweek.com,235
marketwatch.com,229
fortune.com,219
eonline.com,216
bloomberg.com,210
cnn.com,202
nbcnews.com,198
usatoday.com,198
radaronline.com,195
vanityfair.com,173
washingtonpost.com,170
upi.com,157
latimes.com,148
monstersandcritics.com,147
theweek.com,139
seattletimes.com,136
theconversation.com,136
abcnews.go.com,132
newsday.com,117
gizmodo.com,112
inquisitr.com,110
tmz.com,103
ocregister.com,99
stltoday.com,92
theatlantic.com,91
sun-sentinel.com,89
foxbusiness.com,85
baltimoresun.com,84
oregonlive.com,83
mercurynews.com,80
bostonglobe.com,79
courant.com,79
sandiegouniontribune.com,78
buzzfeed.com,75
thestreet.com,75
cleveland.com,72
npr.org,72
twincities.com,72
rollingstone.com,68
orlandosentinel.com,64
wired.com,61
thedailybeast.com,60
hollywoodlife.com,58
salon.com,57
startribune.com,57
slate.com,54
pilotonline.com,52
scientificamerican.com,50
arkansasonline.com,49
hollywoodreporter.com,48
newyorker.com,45
chicagotribune.com,43
ajc.com,42
theroot.com,41
rawstory.com,40
politico.com,38
vox.com,38
dailycaller.com,37
billboard.com,35
dailydot.com,34
pbs.org,34
variety.com,34
pjmedia.com,33
staradvertiser.com,33
thewrap.com,33
vice.com,32
syracuse.com,31
livescience.com,30
mlive.com,28
gq.com,27
jezebel.com,27
parade.com,27
azcentral.com,26
denverpost.com,26
postandcourier.com,25
breitbart.com,24
bustle.com,24
eurweb.com,24
arstechnica.com,23
centralmaine.com,23
rttnews.com,23
uproxx.com,23
cnet.com,22
