term,term_count,term_ratio,doc_count,doc_ratio,sample_size
weight,2094,0.4188,2065,0.413,5000
ozempic,1998,0.3996,1997,0.3994,5000
loss,1987,0.3974,1967,0.3934,5000
drugs,1156,0.2312,1156,0.2312,5000
wegovy,919,0.184,919,0.184,5000
drug,895,0.179,882,0.176,5000
novo,772,0.154,741,0.148,5000
nordisk,671,0.134,645,0.129,5000
obesity,511,0.102,509,0.102,5000
new,452,0.0904,448,0.0896,5000
hims,357,0.0714,160,0.032,5000
study,334,0.0668,334,0.0668,5000
health,269,0.0538,216,0.0432,5000
lilly,250,0.05,243,0.0486,5000
diabetes,228,0.0456,226,0.0452,5000
fda,225,0.045,225,0.045,5000
eli,206,0.0412,200,0.04,5000
patients,184,0.0368,184,0.0368,5000
people,180,0.036,179,0.0358,5000
risk,179,0.0358,178,0.0356,5000
glp-1,172,0.0344,171,0.0342,5000
stock,159,0.0318,158,0.0316,5000
maker,156,0.0312,156,0.0312,5000
medicare,150,0.03,150,0.03,5000
popular,137,0.0274,137,0.0274,5000
mounjaro,136,0.0272,136,0.0272,5000
nyse,136,0.0272,109,0.0218,5000
heart,133,0.0266,132,0.0264,5000
zepbound,133,0.0266,133,0.0266,5000
price,130,0.026,130,0.026,5000
help,126,0.0252,126,0.0252,5000
pill,121,0.0242,121,0.0242,5000
finds,117,0.0234,117,0.0234,5000
investors,117,0.0234,94,0.0188,5000
trial,114,0.0228,114,0.0228,5000
ceo,108,0.0216,108,0.0216,5000
market,105,0.021,105,0.021,5000
effects,96,0.0192,96,0.0192,5000
prices,92,0.0184,92,0.0184,5000
class,91,0.0182,90,0.018,5000
action,89,0.0178,88,0.0176,5000
food,88,0.0176,86,0.0172,5000
users,86,0.0172,86,0.0172,5000
shares,86,0.0172,86,0.0172,5000
semaglutide,85,0.017,83,0.0166,5000
lose,82,0.0164,82,0.0164,5000
sales,81,0.0162,81,0.0162,5000
altimmune,80,0.016,52,0.0104,5000
news,79,0.0158,79,0.0158,5000
lower,78,0.0156,78,0.0156,5000
weightwatchers,78,0.0156,78,0.0156,5000
cut,75,0.015,74,0.0148,5000
demand,74,0.0148,73,0.0146,5000
shortage,73,0.0146,73,0.0146,5000
high,72,0.0144,71,0.0142,5000
down,71,0.0142,71,0.0142,5000
disease,71,0.0142,71,0.0142,5000
firm,71,0.0142,70,0.014,5000
big,70,0.014,68,0.0136,5000
americans,70,0.014,70,0.014,5000
trump,69,0.0138,69,0.0138,5000
warns,68,0.0136,68,0.0136,5000
lawsuit,68,0.0136,65,0.013,5000
treatment,67,0.0134,67,0.0134,5000
pharma,66,0.0132,65,0.013,5000
alcohol,65,0.013,65,0.013,5000
linked,65,0.013,65,0.013,5000
cost,65,0.013,65,0.013,5000
reveals,64,0.0128,64,0.0128,5000
access,64,0.0128,64,0.0128,5000
business,64,0.0128,64,0.0128,5000
treat,63,0.0126,63,0.0126,5000
biden,63,0.0126,63,0.0126,5000
ap,63,0.0126,63,0.0126,5000
pounds,62,0.0124,62,0.0124,5000
cover,62,0.0124,62,0.0124,5000
est,62,0.0124,62,0.0124,5000
nasdaq,61,0.0122,46,0.0092,5000
results,59,0.0118,59,0.0118,5000
medication,59,0.0118,59,0.0118,5000
fake,59,0.0118,59,0.0118,5000
surgery,58,0.0116,58,0.0116,5000
medications,58,0.0116,58,0.0116,5000
supply,58,0.0116,58,0.0116,5000
company,58,0.0116,58,0.0116,5000
deadline,58,0.0116,47,0.0094,5000
suggests,57,0.0114,57,0.0114,5000
brand,56,0.0112,56,0.0112,5000
nvo,56,0.0112,45,0.009,5000
risks,55,0.011,55,0.011,5000
medicaid,55,0.011,55,0.011,5000
alt,54,0.0108,48,0.0096,5000
meds,53,0.0106,53,0.0106,5000
work,53,0.0106,52,0.0104,5000
contact,53,0.0106,53,0.0106,5000
cuts,53,0.0106,53,0.0106,5000
u.s.,51,0.0102,51,0.0102,5000
doctors,51,0.0102,51,0.0102,5000
experts,50,0.01,50,0.01,5000
billion,50,0.01,50,0.01,5000
