date,count,total_count,ratio
2023-01-01,0,5025,0
2023-01-02,1,6256,0.00015984654731457802
2023-01-03,1,10145,9.857072449482504e-05
2023-01-04,0,11267,0
2023-01-05,0,12157,0
2023-01-06,1,11739,8.51861316977596e-05
2023-01-07,0,5261,0
2023-01-08,0,5703,0
2023-01-09,0,11214,0
2023-01-10,0,12133,0
2023-01-11,0,12372,0
2023-01-12,0,12095,0
2023-01-13,0,10719,0
2023-01-14,0,5419,0
2023-01-15,0,5280,0
2023-01-16,0,7821,0
2023-01-17,0,11407,0
2023-01-18,0,11964,0
2023-01-19,0,12284,0
2023-01-20,0,10909,0
2023-01-21,0,5767,0
2023-01-22,0,5573,0
2023-01-23,0,10835,0
2023-01-24,0,12387,0
2023-01-25,0,12165,0
2023-01-26,0,12100,0
2023-01-27,0,10979,0
2023-01-28,0,5282,0
2023-01-29,0,5442,0
2023-01-30,0,10914,0
2023-01-31,0,12253,0
2023-02-01,0,12836,0
2023-02-02,0,12068,0
2023-02-03,0,11037,0
2023-02-04,0,5424,0
2023-02-05,0,5481,0
2023-02-06,0,10952,0
2023-02-07,0,12295,0
2023-02-08,1,12522,7.985944737262418e-05
2023-02-09,0,12817,0
2023-02-10,0,11447,0
2023-02-11,0,5445,0
2023-02-12,0,5878,0
2023-02-13,1,10809,9.25154963456379e-05
2023-02-14,0,12307,0
2023-02-15,0,12350,0
2023-02-16,0,12555,0
2023-02-17,0,10745,0
2023-02-18,0,5538,0
2023-02-19,0,4995,0
2023-02-20,0,8007,0
2023-02-21,0,11481,0
2023-02-22,0,11893,0
2023-02-23,1,12184,8.207485226526592e-05
2023-02-24,0,10952,0
2023-02-25,0,5559,0
2023-02-26,0,5430,0
2023-02-27,0,11291,0
2023-02-28,0,12650,0
2023-03-01,0,12740,0
2023-03-02,0,12308,0
2023-03-03,0,11048,0
2023-03-04,0,5620,0
2023-03-05,0,5314,0
2023-03-06,0,10679,0
2023-03-07,0,11895,0
2023-03-08,0,12418,0
2023-03-09,0,12699,0
2023-03-10,0,11474,0
2023-03-11,0,5604,0
2023-03-12,0,6192,0
2023-03-13,0,11960,0
2023-03-14,0,12339,0
2023-03-15,0,12618,0
2023-03-16,0,12219,0
2023-03-17,0,11212,0
2023-03-18,0,5401,0
2023-03-19,0,5227,0
2023-03-20,0,10740,0
2023-03-21,0,11497,0
2023-03-22,0,11737,0
2023-03-23,0,11797,0
2023-03-24,0,10893,0
2023-03-25,0,5136,0
2023-03-26,0,5075,0
2023-03-27,0,10957,0
2023-03-28,0,11552,0
2023-03-29,0,11678,0
2023-03-30,0,9661,0
2023-03-31,0,11209,0
2023-04-01,0,5402,0
2023-04-02,0,5458,0
2023-04-03,0,10827,0
2023-04-04,0,11853,0
2023-04-05,0,11657,0
2023-04-06,0,11159,0
2023-04-07,0,9473,0
2023-04-08,0,4957,0
2023-04-09,0,4869,0
2023-04-10,0,9886,0
2023-04-11,0,11300,0
2023-04-12,0,11542,0
2023-04-13,0,11990,0
2023-04-14,0,10852,0
2023-04-15,0,5149,0
2023-04-16,0,5105,0
2023-04-17,0,11078,0
2023-04-18,2,12308,0.00016249593760155997
2023-04-19,0,12305,0
2023-04-20,0,12104,0
2023-04-21,0,10680,0
2023-04-22,0,5027,0
2023-04-23,0,5055,0
2023-04-24,0,11169,0
2023-04-25,0,12189,0
2023-04-26,0,12720,0
2023-04-27,1,12770,7.830853563038371e-05
2023-04-28,1,11559,8.651267410675664e-05
