term,term_count,term_ratio,doc_count,doc_ratio,sample_size
madrigal,66,0.455,64,0.441,145
liver,55,0.379,51,0.352,145
pharmaceuticals,54,0.372,53,0.366,145
disease,29,0.2,28,0.193,145
nash,26,0.179,25,0.172,145
announces,26,0.179,26,0.179,145
mash,20,0.138,20,0.138,145
treatment,20,0.138,20,0.138,145
resmetirom,18,0.124,18,0.124,145
drug,18,0.124,18,0.124,145
new,17,0.117,17,0.117,145
fda,15,0.103,15,0.103,145
nasdaq,14,0.0966,11,0.0759,145
fatty,14,0.0966,13,0.0897,145
results,13,0.0897,13,0.0897,145
rezdiffra,12,0.0828,12,0.0828,145
fibrosis,12,0.0828,12,0.0828,145
reports,11,0.0759,11,0.0759,145
financial,11,0.0759,11,0.0759,145
approval,11,0.0759,11,0.0759,145
phase,10,0.069,10,0.069,145
market,10,0.069,8,0.0552,145
2025,9,0.0621,7,0.0483,145
novo,9,0.0621,8,0.0552,145
wegovy,9,0.0621,9,0.0621,145
clinical,9,0.0621,8,0.0552,145
trial,9,0.0621,9,0.0621,145
quarter,8,0.0552,8,0.0552,145
2024,8,0.0552,7,0.0483,145
stock,8,0.0552,8,0.0552,145
stocks,8,0.0552,8,0.0552,145
corporate,7,0.0483,7,0.0483,145
global,7,0.0483,7,0.0483,145
health,7,0.0483,7,0.0483,145
appoints,7,0.0483,7,0.0483,145
data,6,0.0414,6,0.0414,145
maestro,6,0.0414,6,0.0414,145
updates,6,0.0414,6,0.0414,145
u.s.,6,0.0414,5,0.0345,145
patent,6,0.0414,4,0.0276,145
grants,6,0.0414,6,0.0414,145
inducement,6,0.0414,6,0.0414,145
listing,6,0.0414,6,0.0414,145
rule,6,0.0414,6,0.0414,145
5635(c)(4,6,0.0414,6,0.0414,145
approves,6,0.0414,6,0.0414,145
therapeutics,6,0.0414,6,0.0414,145
upcoming,6,0.0414,6,0.0414,145
study,5,0.0345,5,0.0345,145
receives,5,0.0345,5,0.0345,145
annual,5,0.0345,5,0.0345,145
conference,5,0.0345,5,0.0345,145
treat,5,0.0345,5,0.0345,145
nordisk,5,0.0345,4,0.0276,145
offering,5,0.0345,5,0.0345,145
key,5,0.0345,5,0.0345,145
2023,5,0.0345,5,0.0345,145
sagimet,5,0.0345,5,0.0345,145
biosciences,5,0.0345,5,0.0345,145
delveinsight,5,0.0345,5,0.0345,145
easl,4,0.0276,4,0.0276,145
positive,4,0.0276,4,0.0276,145
moderate,4,0.0276,4,0.0276,145
advanced,4,0.0276,4,0.0276,145
host,4,0.0276,4,0.0276,145
steatohepatitis,4,0.0276,4,0.0276,145
cirrhosis,4,0.0276,4,0.0276,145
500,4,0.0276,4,0.0276,145
leadership,4,0.0276,4,0.0276,145
higher,4,0.0276,4,0.0276,145
mdgl,4,0.0276,3,0.0207,145
healthcare,4,0.0276,4,0.0276,145
risk,4,0.0276,4,0.0276,145
application,4,0.0276,4,0.0276,145
public,4,0.0276,4,0.0276,145
patient,4,0.0276,4,0.0276,145
billion,4,0.0276,4,0.0276,145
growth,4,0.0276,4,0.0276,145
chief,4,0.0276,4,0.0276,145
officer,4,0.0276,4,0.0276,145
participation,4,0.0276,4,0.0276,145
shares,4,0.0276,4,0.0276,145
obesity,4,0.0276,4,0.0276,145
diabetes,4,0.0276,4,0.0276,145
meeting,3,0.0207,3,0.0207,145
congress,3,0.0207,3,0.0207,145
release,3,0.0207,3,0.0207,145
webcast,3,0.0207,3,0.0207,145
patients,3,0.0207,3,0.0207,145
nonalcoholic,3,0.0207,3,0.0207,145
awards,3,0.0207,3,0.0207,145
care,3,0.0207,3,0.0207,145
potential,3,0.0207,3,0.0207,145
million,3,0.0207,3,0.0207,145
trading,3,0.0207,3,0.0207,145
friday,3,0.0207,3,0.0207,145
insights,3,0.0207,3,0.0207,145
morgan,3,0.0207,3,0.0207,145
severe,3,0.0207,3,0.0207,145
form,3,0.0207,3,0.0207,145
