pubmed_id,title,abstract,publication_year,publication_month,journal,authors,abstract_length,has_abstract,publication_date
40991062,GLP-1 receptor agonism: a transformative approach for managing type-2 diabetes and obesity.,"GLP-1 receptor agonists represent a breakthrough for managing type-2 diabetes and obesity, offering metabolic benefits across multiple organ systems. These medications provide effective glycaemic control, significant weight reduction, and cardiovascular protection through complex signalling pathways affecting pancreatic, gastrointestinal, neural, and cardiovascular tissues. Their therapeutic potential extends beyond metabolic disorders. Clinical studies demonstrate substantial decreases in HbA1c, body weight (15-20%), and cardiovascular events compared to traditional treatments. Emerging applications include non-alcoholic fatty liver disease and neurodegenerative conditions. Significant barriers still exist despite established safety profiles, such as high costs that restrict access worldwide, a lack of predictive biomarkers for treatment response, a lack of knowledge about the mechanistics of gut microbiota interactions, and an incomplete understanding of long-term safety, particularly with regard to thyroid and pancreatic effects. Research gaps include appropriate patient classification, cost-effectiveness across healthcare systems, and established methodologies for developing applications. Potential future developments include novel delivery mechanisms, multi-receptor agonists, and a broader range of therapeutic uses for the treatment of metabolic disorders and their consequences. From their identification as incretin hormones to development of long-acting analogue, GLP-1 agonists have revolutionized metabolic disease management. Their pleiotropic benefits arise from intricate signalling cascades that regulate appetite, insulin secretion, and energy homeostasis across multiple tissues.",2025,Sep,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,Abdulrahman G Alharbi,1718,True,2025-09-01
40093363,Multimodal AI predicts clinical outcomes of drug combinations from preclinical data.,"Predicting clinical outcomes from preclinical data is essential for identifying safe and effective drug combinations, reducing late-stage clinical failures, and accelerating the development of precision therapies. Current AI models rely on structural or target-based features but fail to incorporate the multimodal data necessary for accurate, clinically relevant predictions. Here, we introduce Madrigal, a multimodal AI model that learns from structural, pathway, cell viability, and transcriptomic data to predict drug-combination effects across 953 clinical outcomes and 21,842 compounds, including combinations of approved drugs and novel compounds in development. Madrigal uses an attention bottleneck module to unify preclinical drug data modalities while handling missing data during training and inference, a major challenge in multimodal learning. It outperforms single-modality methods and state-of-the-art models in predicting adverse drug interactions, and ablations show both modality alignment and multimodality are necessary. It captures transporter-mediated interactions and aligns with head-to-head clinical trial differences for neutropenia, anemia, alopecia, and hypoglycemia. In type 2 diabetes and MASH, Madrigal supports polypharmacy decisions and prioritizes resmetirom among safer candidates. Extending to personalization, Madrigal improves patient-level adverse-event prediction in a longitudinal EHR cohort and an independent oncology cohort, and predicts ex vivo efficacy in primary acute myeloid leukemia samples and patient-derived xenograft models. Madrigal links preclinical multimodal readouts to safety risks of drug combinations and offers a generalizable foundation for safer combination design.",2025,Sep,ArXiv,Yepeng Huang; Xiaorui Su; Varun Ullanat; Intae Moon; Ivy Liang; Lindsay Clegg; Damilola Olabode; Ruthie Johnson; Nicholas Ho; Megan Gibbs; Megan Gibbs; Alexander Gusev; Bino John; Marinka Zitnik,1732,True,2025-09-01
41056908,Fungal endophytes.,"Organisms are commonly grouped into ecological guilds that reflect their shared resource use and similar ecological roles. The guild concept has been used to categorize the vast diversity of the fungal kingdom (estimated at 2.2-5 million species) into groups of fungi with common lifestyles, such as mycorrhizal symbionts, pathogens of animals and plants, and the group that is the focus of this primer - fungal endophytes of plants. Fungal endophytes have resisted scientists' attempts to silo organisms into neat assemblages. Scattered across the fungal tree of life and lacking few diagnostic characteristics, they are defined less by what they are than by what they are not.",2025,Oct,Current biology : CB,Julian Cosner; Gaurav Pandharikar; Keaton Tremble; Jake Nash; Tomás A Rush; Rytas Vilgalys; Claire Veneault-Fourrey,679,True,2025-10-01
41116207,Roles of the Keap1/Nrf2 pathway and mitophagy in liver diseases.,"Nuclear factor erythroid 2-related factor 2 (Nrf2) is an intracellular transcription factor that helps protect against oxidative stress in different types of cells under pathological conditions. Mitochondria are vital organelles that function in diverse metabolic processes in the body, including redox reactions, lipid metabolism, and cell death. Mitophagy, a specific form of autophagy for damaged mitochondria, plays a critical role in the pathophysiology of liver diseases. In this review, we explain in detail the roles of the Nrf2 signaling pathway and mitophagy, and the relationship between them, in various hepatic diseases (nonalcoholic fatty liver disease, viral hepatitis, alcoholic liver disease, drug-induced liver injury, autoimmune hepatitis, hepatic ischemia‒reperfusion injury, and liver cancer). We also offer some potential insights and treatments relevant to clinical applications. 核因子E2相关因子2（Nrf2）是一种细胞内转录因子，在病理条件下有助于保护不同类型细胞免受氧化应激。线粒体参与机体内多种代谢过程，包括氧化还原反应、脂质代谢和细胞死亡等。线粒体自噬是自噬的一种特殊形式，专门负责清除受损的线粒体，在肝脏疾病病理生理机制中起着重要作用。本综述详细阐述了Nrf2信号通路和线粒体自噬在各种肝脏疾病（非酒精性脂肪性肝病、病毒性肝炎、酒精性肝病、药物性肝损伤、自身免疫性肝炎、肝缺血再灌注损伤和肝癌）中的作用及其相互关系，同时提供了一些临床应用相关的潜在见解和治疗方法。.",2025,Aug,Journal of Zhejiang University. Science. B,Qihui Zhou; Panpan Cen; Zhi Chen; Jie Jin,1153,True,2025-08-01
41135761,Alpha-1 antitrypsin Pi*MZ variant increases the risk of liver disease progression in MASLD and MASH.,"Most investigational treatments for metabolic dysfunction-associated steatotic liver disease (MASLD) and metabolic dysfunction-associated steatohepatitis (MASH) show modest anti-fibrotic effects, likely due to a multifactorial aetiology. The Pi*Z mutation in SERPINA1 can lead to proteotoxic liver injury and progressive chronic liver disease. Here, we investigate whether the SERPINA1 Z mutation is associated with disease progression in MASLD/MASH. A population of MASLD/MASH patients of European ancestry was identified in the UK Biobank using ICD-10 codes (N=6319). We estimated odds ratios (OR) for advanced liver disease (composite of incident cirrhosis, hepatic decompensation, and liver-related death/transplant) with the MZ genotype. ORs were compared with metabolic risk factors (RFs; obesity, dyslipidaemia, hypertension, and type 2 diabetes) and established genetic RFs (PNPLA3, HSD17B13, and TM6SF2). Some individuals (7.9%) experienced advanced liver disease. The MZ genotype prevalence was greater in individuals who experienced advanced liver disease (7.6% vs 3.9%). After adjustment for established metabolic and genetic RFs, advanced liver disease was significantly associated with the MZ genotype (OR 2.01; 95% CI, 1.38-2.92). We replicated known associations in all genetic and metabolic RFs. The MZ genotype (OR 1.90; 1.33-2.73) was a risk equivalent to ≥2 metabolic RFs (OR 1.74; 1.44-2.09) and PNPLA3 (OR 1.32; 1.15-1.51). Carriage of the Pi*Z mutation significantly affects the risk of future clinical outcomes among individuals with MASLD/MASH. The MZ genotype confers a risk equivalent to established RFs in MASLD/MASH, underscoring the importance of screening and further work to understand the underlying mechanisms.",2025,Oct,Annals of hepatology,Bradley Jermy; Jack Brownrigg; Pavel Strnad; Rohit Loomba,1745,True,2025-10-01
41026248,Headline: Fracture Risk in Type 2 Diabetes: Systematic Review of Cardiovascular Outcome Trials with Glucagon Like Peptide Receptor Agonists.,"This systematic review examined the available evidence on fracture risk in people with type 2 diabetes (T2D) using cardiovascular outcome trials with glucagon-like peptide-1 receptor agonist (GLP-1RA). A systematic Literature search identified 797 records, of which 643 remained after duplicate removal. Following screening, 20 studies met the criteria for inclusion. Although GLP-1 RAs have demonstrated well-established benefits in glycaemic control, weight reduction, and cardiovascular protection, their impact on bone health remains incompletely understood. Preclinical studies suggest potential bone-protective effects, including increased bone mass, improved microarchitecture, and reduced bone resorption. However, evidence from human studies has been inconsistent. While some findings indicate a possible reduction in fracture risk with long-term GLP-1 RA therapy, further research is needed to clarify their role in bone metabolism and fracture prevention among people with T2D, particularly within the context of cardiovascular outcome trials.",2025,Sep,Current osteoporosis reports,Aksayan Arunanthy Mahalingasivam; Nicklas Højgaard-Hessellund Rasmussen,1055,True,2025-09-01
40995421,Pharmacotherapy for Obesity: Recent Updates.,"In this narrative review we describe the recent updates regarding anti-obesity medications as of February 2025. We describe the physiologic mechanisms underpinning the development of hunger, satiation, and maintenance of satiety to address targets for anti-obesity medications. The efficacy, mechanism, and additional beneficial effects of anti-obesity medications are then further detailed. For this review, we focus on FDA-approved medications for obesity and on select medications currently under development and undergoing Phase 2 and 3 trials. We start by focusing on the non-incretin anti-obesity medications orlistat, phentermine, phentermine-topiramate, and naltrexone-bupropion. We also highlight setmelanotide for heritable obesity. The mechanism of action and comparative efficacy of the GLP-1 receptor agonists liraglutide and semaglutide are reviewed. Tirzepatide, the GLP-1 and GIP-receptor dual agonist is described, and weight loss is compared to alternative anti-obesity medications. Additional incretin targets in the pipeline include dual co-agonists to glucagon and GLP-1 receptors, triple agonists targeting glucagon, GLP-1 and GIP, novel GLP-1 agonists, oral formulations of GLP-1 agonists, and amylin agonists. Finally, we provide best practices for adjuncts to pharmacologic treatments of obesity, monitoring efficacy of obesity treatments, and adjusting medication regimens for providers.",2025,01,Clinical pharmacology : advances and applications,Thomas Ward Fredrick; Michael Camilleri; Andres Acosta,1414,True,2025-01-01
39976586,"Letter to the Editor: Optimizing MASLD treatment-A ""lead-in phase"" before resmetirom.",,2025,Jun,"Hepatology (Baltimore, Md.)",Paula Iruzubieta; Marta Alonso-Peña; Carolina Jimenez-Gonzalez; Javier Crespo,0,False,2025-06-01
39420154,Actions of thyroid hormones and thyromimetics on the liver.,"Thyroid hormones (triiodothyronine and thyroxine) are pivotal for metabolic balance in the liver and entire body. Dysregulation of the hypothalamus-pituitary-thyroid axis can contribute to hepatic metabolic disturbances, affecting lipid metabolism, glucose regulation and protein synthesis. In addition, reductions in circulating and intrahepatic thyroid hormone concentrations increase the risk of metabolic dysfunction-associated steatotic liver disease by inducing lipotoxicity, inflammation and fibrosis. Amelioration of hepatic metabolic disease by thyroid hormones in preclinical and clinical studies has spurred the development of thyromimetics that target THRB (the predominant thyroid hormone receptor isoform in the liver) and/or the liver itself to provide more selective activation of hepatic thyroid hormone-regulated metabolic pathways while reducing thyrotoxic side effects in tissues that predominantly express THRA such as the heart and bone. Resmetirom, a liver and THRB-selective thyromimetic, recently became the first FDA-approved drug for metabolic dysfunction-associated steatohepatitis (MASH). Thus, a better understanding of the metabolic actions of thyroid hormones and thyromimetics in the liver is timely and clinically relevant. Here, we describe the roles of thyroid hormones in normal liver function and pathogenesis of MASH, as well as some potential clinical issues that might arise when treating patients with MASH with thyroid hormone supplementation or thyromimetics.",2025,Jan,Nature reviews. Gastroenterology & hepatology,Rohit A Sinha; Eveline Bruinstroop; Paul M Yen,1504,True,2025-01-01
41008585,Beyond the BMI Paradox: Unraveling the Cellular and Molecular Determinants of Metabolic Health in Obesity.,"Obesity has traditionally been considered a major risk factor for numerous metabolic disorders and diseases. However, a subset of individuals with obesity, classified as having ""metabolically healthy obesity"" (MHO), display relatively normal metabolic parameters despite excess adiposity. This review critically examines the current knowledge surrounding MHO, including its various definitions, prevalence, clinical characteristics, contributing factors, and long-term outcomes. While MHO carries lower health risks compared to metabolically unhealthy obesity (MUO), evidence consistently demonstrates increased disease risk compared to metabolically healthy normal-weight individuals, particularly for type 2 diabetes, cardiovascular disease, chronic kidney disease, and certain cancers. MHO prevalence ranges from 10 to 30% among individuals with obesity globally, varying by sex, age, BMI, and ethnicity. Multiple factors contribute to the MHO phenotype, including beneficial adipose tissue distribution patterns, enhanced adipocyte function, favorable genetic profiles, and lifestyle factors. Recent single-cell transcriptomic analyses have identified specific cell populations, particularly mesothelial cells, as key drivers of metabolic health in visceral adipose tissue. The discovery of persistent epigenetic memory of obesity provides molecular evidence for why MHO often represents a transient state, with many individuals progressing to MUO over time. Emerging evidence also reveals differential therapeutic responses to GLP-1 receptor agonists between MHO and MUO phenotypes, highlighting the need for precision medicine approaches. The concept of MHO has important clinical implications for risk stratification and personalized treatment approaches. This review synthesizes current evidence while highlighting knowledge gaps and future research directions in this rapidly evolving field.",2025,Sep,Biomolecules,Kyoichiro Tsuchiya; Takahiro Tsutsumi,1901,True,2025-09-01
