date,MASLD,NAFLD,Rezdiffra,Wegovy,Ozempic
2023-01-01,0,16,0,41,44
2023-01-08,0,19,0,22,44
2023-01-15,0,18,0,24,52
2023-01-22,0,19,0,26,60
2023-01-29,0,22,0,29,54
2023-02-05,0,20,0,25,50
2023-02-12,0,20,0,28,53
2023-02-19,0,21,0,26,49
2023-02-26,0,19,0,28,58
2023-03-05,0,20,0,37,58
2023-03-12,0,20,0,29,64
2023-03-19,0,23,0,32,65
2023-03-26,0,21,0,29,58
2023-04-02,0,20,0,30,60
2023-04-09,0,19,0,35,58
2023-04-16,0,22,0,34,62
2023-04-23,0,21,0,36,60
2023-04-30,0,20,0,40,61
2023-05-07,0,21,0,33,59
2023-05-14,0,21,0,36,61
2023-05-21,0,21,0,40,67
2023-05-28,0,21,0,37,62
2023-06-04,0,21,0,40,70
2023-06-11,0,22,0,38,71
2023-06-18,0,22,0,35,69
2023-06-25,1,21,0,36,66
2023-07-02,1,19,0,28,64
2023-07-09,1,21,0,33,61
2023-07-16,1,23,0,37,56
2023-07-23,2,22,0,30,56
2023-07-30,1,21,0,29,56
2023-08-06,2,20,0,46,59
2023-08-13,2,21,0,31,59
2023-08-20,2,22,0,30,52
2023-08-27,1,20,0,29,50
2023-09-03,2,21,0,43,50
2023-09-10,2,22,0,29,47
2023-09-17,2,20,0,31,54
2023-09-24,3,21,0,30,59
2023-10-01,2,20,0,32,57
2023-10-08,3,23,0,29,52
2023-10-15,4,24,0,29,55
2023-10-22,3,22,0,29,58
2023-10-29,3,22,0,28,52
2023-11-05,3,21,0,32,59
2023-11-12,3,22,0,35,56
2023-11-19,3,22,0,24,51
2023-11-26,3,21,0,30,52
2023-12-03,3,24,0,28,55
2023-12-10,3,24,0,29,62
2023-12-17,3,20,0,27,57
2023-12-24,2,19,0,28,58
2023-12-31,2,19,0,35,63
2024-01-07,4,23,0,32,59
2024-01-14,4,23,0,31,60
2024-01-21,3,24,0,33,61
2024-01-28,5,26,0,34,62
2024-02-04,5,23,0,33,66
2024-02-11,4,25,0,32,60
2024-02-18,4,26,0,34,71
2024-02-25,6,27,0,37,72
2024-03-03,6,24,0,41,80
2024-03-10,6,27,1,41,81
2024-03-17,6,26,1,43,88
2024-03-24,5,24,1,37,84
2024-03-31,7,24,0,37,89
2024-04-07,6,27,0,40,76
2024-04-14,7,26,0,37,82
2024-04-21,6,25,0,42,92
2024-04-28,7,25,0,45,93
2024-05-05,6,24,0,44,87
2024-05-12,7,24,0,49,99
2024-05-19,8,26,0,45,95
2024-05-26,6,24,0,46,100
2024-06-02,7,23,1,49,85
2024-06-09,8,23,0,52,81
2024-06-16,7,24,0,55,87
2024-06-23,8,23,0,48,81
2024-06-30,6,23,0,55,89
2024-07-07,8,23,0,48,82
2024-07-14,8,24,0,48,76
2024-07-21,9,23,0,45,79
2024-07-28,9,20,0,48,74
2024-08-04,7,22,0,51,69
2024-08-11,7,22,0,48,75
2024-08-18,9,22,0,47,77
2024-08-25,8,22,0,52,83
2024-09-01,7,24,0,49,88
2024-09-08,9,22,0,48,87
2024-09-15,8,26,0,48,79
2024-09-22,9,23,0,49,77
2024-09-29,15,23,0,51,79
2024-10-06,11,23,0,56,71
2024-10-13,11,23,0,55,78
2024-10-20,24,24,0,55,81
2024-10-27,12,23,0,56,79
2024-11-03,13,22,0,56,76
2024-11-10,13,24,0,53,73
2024-11-17,13,24,0,50,72
2024-11-24,10,23,0,48,74
2024-12-01,12,23,1,52,74
2024-12-08,12,24,1,50,70
2024-12-15,10,23,0,49,74
2024-12-22,8,18,0,44,75
2024-12-29,9,20,0,55,85
2025-01-05,12,24,1,63,86
2025-01-12,12,24,1,60,79
2025-01-19,13,24,1,56,80
2025-01-26,14,25,1,54,83
2025-02-02,13,24,1,56,77
2025-02-09,13,26,1,52,79
2025-02-16,13,25,1,53,80
2025-02-23,14,25,1,55,86
2025-03-02,17,26,1,56,79
2025-03-09,15,24,1,55,79
2025-03-16,14,25,1,58,77
2025-03-23,17,25,1,55,75
2025-03-30,16,24,1,57,74
2025-04-06,16,25,1,56,73
2025-04-13,14,25,1,53,79
2025-04-20,16,25,1,55,76
2025-04-27,15,25,1,58,74
2025-05-04,14,25,1,60,76
2025-05-11,15,26,1,66,81
2025-05-18,16,29,1,59,77
2025-05-25,15,28,1,58,76
2025-06-01,17,26,1,65,82
2025-06-08,18,30,1,59,79
2025-06-15,17,26,1,61,71
2025-06-22,15,27,1,69,72
2025-06-29,16,27,1,60,66
2025-07-06,15,26,1,59,68
2025-07-13,16,27,1,63,68
2025-07-20,18,28,1,62,69
2025-07-27,20,37,1,69,76
2025-08-03,23,54,1,77,79
2025-08-10,44,100,1,87,80
2025-08-17,41,94,1,100,100
2025-08-24,33,66,1,91,77
2025-08-31,34,73,1,86,71
2025-09-07,30,72,1,81,73
2025-09-14,31,73,1,88,72
2025-09-21,33,74,1,86,71
2025-09-28,32,66,1,85,73
2025-10-05,44,71,1,88,73
2025-10-12,24,37,1,69,65
2025-10-19,19,22,1,64,60
2025-10-26,20,24,1,63,60
